assemble_ai,assemble_flops,assemble_time,bytes,cell_type,cols,degree,dimension,matmult_flops,matmult_time,matvec_ai,mesh_size,nonzeros,num_processes,problem,rows,type
0,0.0,0.000155925750732,567224896,simplex,13582725,1,3,23547940254.0,0.136549198627,17.8153251971,3072000,0,48,Rayleigh-Benard,13582725,matfree
7.46996665517,2.7767436561e+11,2.51732802391,18595216800.0,simplex,13582725,1,3,3005637170.0,0.10541420579,0.173105933672,3072000,1502818585.0,48,Rayleigh-Benard,13582725,nest
12.3601935544,7.3539389532e+11,6.24669909477,40053690288.0,simplex,12389455,2,3,4895165295.0,0.198484843969,0.124060403279,750000,2453777375.0,48,Rayleigh-Benard,12389455,aij
0,0.0,0.000154972076416,575923392,simplex,12389455,2,3,42560303744.0,0.215321737528,52.9007929673,750000,0,48,Rayleigh-Benard,12389455,matfree
12.3601935544,7.3539389532e+11,4.23624181747,30694950240.0,simplex,12389455,2,3,4907554750.0,0.176435625553,0.166156105714,750000,2453777375.0,48,Rayleigh-Benard,12389455,nest
17.7172312258,8.320875656e+11,5.41478991508,31551466704.0,simplex,6167783,3,3,3888382395.0,0.158568686247,0.124408922314,146334,1947275089.0,48,Rayleigh-Benard,6167783,aij
0,0.0,0.000159025192261,351465728,simplex,6167783,3,3,29205391872.0,0.147474682331,88.7814463038,146334,0,48,Rayleigh-Benard,6167783,matfree
17.7172312258,8.320875656e+11,4.18614006042,24573557088.0,simplex,6167783,3,3,3894550178.0,0.148913115263,0.162379509181,146334,1947275089.0,48,Rayleigh-Benard,6167783,nest
1.55966640172,20813985874.0,0.577034950256,9312634880.0,simplex,14414404,1,2,1034308828.0,0.0433245241642,0.120049846513,2880000,524361616.0,48,Rayleigh-Benard,14414404,aij
0,0.0,0.000155925750732,474331136,simplex,14414404,1,2,4458248070.0,0.039228272438,4.49826412384,2880000,0,48,Rayleigh-Benard,14414404,matfree
1.55966640172,20813985874.0,0.36625790596,9201114792.0,simplex,14414404,1,2,783686428.0,0.0409130930901,0.13460211061,2880000,524361616.0,48,Rayleigh-Benard,14414404,nest
1.92137858737,44774012094.0,0.925843000412,16185159680.0,simplex,16656004,2,2,1873200028.0,0.0697712182999,0.121780119558,1280000,944928016.0,48,Rayleigh-Benard,16656004,aij
0,0.0,0.000157117843628,553649280,simplex,16656004,2,2,8015419090.0,0.051127743721,8.99305689506,1280000,0,48,Rayleigh-Benard,16656004,matfree
1.92137858737,44774012094.0,0.560437917709,15600129192.0,simplex,16656004,2,2,1498080028.0,0.0693566143513,0.135752781872,1280000,944928016.0,48,Rayleigh-Benard,16656004,nest
2.99723052209,73934245143.0,0.97722697258,16982151680.0,simplex,12514004,3,2,2010102028.0,0.0710450351238,0.12272214005,500000,1011308016.0,48,Rayleigh-Benard,12514004,aij
0,0.0,0.000159978866577,424529984,simplex,12514004,3,2,9259216351.0,0.0487021505833,15.5264250175,500000,0,48,Rayleigh-Benard,12514004,matfree
2.99723052209,73934245143.0,0.657919883728,16073716392.0,simplex,12514004,3,2,1646520028.0,0.0726982295513,0.136724877728,500000,1011308016.0,48,Rayleigh-Benard,12514004,nest
5.40583416772,1.87497649878e+11,1.49640893936,23712839680.0,simplex,13134404,4,2,2845854428.0,0.094151455164,0.123300643452,320000,1429494416.0,48,Rayleigh-Benard,13134404,aij
0,0.0,0.000156879425049,450778496,simplex,13134404,4,2,17209894632.0,0.0785170674324,29.3384559966,320000,0,48,Rayleigh-Benard,13134404,matfree
5.40583416772,1.87497649878e+11,1.11473488808,22163719592.0,simplex,13134404,4,2,2362876828.0,0.0994881808758,0.137392705518,320000,1429494416.0,48,Rayleigh-Benard,13134404,nest
7.46996665517,2.7767436561e+11,4.27844882011,24914718928.0,simplex,13582725,1,3,2992054445.0,0.128097522259,0.123328011299,3072000,1502818585.0,48,Rayleigh-Benard,13582725,aij
0,0.0,0.000154972076416,567224896,simplex,13582725,1,3,23547940254.0,0.135975241661,17.8153251971,3072000,0,48,Rayleigh-Benard,13582725,matfree
7.46996665517,2.7767436561e+11,2.52189493179,18595216800.0,simplex,13582725,1,3,3005637170.0,0.106165707111,0.173105933672,3072000,1502818585.0,48,Rayleigh-Benard,13582725,nest
12.3601935544,7.3539389532e+11,6.22559499741,40053690288.0,simplex,12389455,2,3,4895165295.0,0.197931075096,0.124060403279,750000,2453777375.0,48,Rayleigh-Benard,12389455,aij
0,0.0,0.000156879425049,575923392,simplex,12389455,2,3,42560303744.0,0.215580308437,52.9007929673,750000,0,48,Rayleigh-Benard,12389455,matfree
12.3601935544,7.3539389532e+11,4.23365807533,30694950240.0,simplex,12389455,2,3,4907554750.0,0.176542311907,0.166156105714,750000,2453777375.0,48,Rayleigh-Benard,12389455,nest
17.7172312258,8.320875656e+11,5.47630810738,31551466704.0,simplex,6167783,3,3,3888382395.0,0.160156267881,0.124408922314,146334,1947275089.0,48,Rayleigh-Benard,6167783,aij
0,0.0,0.000150918960571,351465728,simplex,6167783,3,3,29205391872.0,0.14981200695,88.7814463038,146334,0,48,Rayleigh-Benard,6167783,matfree
17.7172312258,8.320875656e+11,4.21751594543,24573557088.0,simplex,6167783,3,3,3894550178.0,0.149584108591,0.162379509181,146334,1947275089.0,48,Rayleigh-Benard,6167783,nest
